	1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	5_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	7_clip	8_clip	9_clip
sq66	18	78	108	87	113	84	80	122	83	189	165	59	53	14	27	53	71	7	77	144	50	5	94	7	10	17	751	721	260	24	833	457	110	106	578	970	376	151	202	461	565	91	12	410	797	434	395	572	440	476	185	7	210	296	287	264	247	412	701	553	14	50	22
sq67	36	78	113	256	72	188	220	383	126	312	370	73	500	21	42	117	393	38	132	241	184	21	136	40	62	70	422	395	492	62	30	338	133	295	228	245	546	184	61	39	423	126	32	26	161	399	357	460	391	448	246	33	281	442	358	335	365	502	617	496	52	511	41
sq68	1	2	1	99	0	0	5	150	0	1	1	1	16	0	3	13	109	0	13	41	165	1	1	2	0	7	22	32	410	602	2	206	749	133	21	6	948	1431	12	12	98	1302	0	1	46	325	626	241	259	257	611	0	285	437	400	452	201	377	271	177	1	157	2
sq69	26	88	103	10	40	21	29	4	20	13	5	19	2	7	10	4	4	9	11	23	4	1	20	3	0	1	499	418	421	78	361	189	30	4	698	996	1211	67	1447	2421	442	12	22	580	900	194	74	138	113	160	79	8	74	135	170	86	190	98	120	82	2	1	41
sq70	1	4	9	141	1	7	10	127	4	16	18	1	81	4	2	29	101	0	35	110	137	0	9	3	1	4	560	500	1099	262	18	322	349	128	262	456	1649	791	79	74	759	230	2	6	81	165	198	281	372	345	448	3	282	410	433	366	294	320	435	270	0	191	3
sq71	437	231	225	116	302	359	389	771	299	460	593	257	1300	244	125	157	501	197	142	207	185	685	333	442	511	73	76	66	50	14	175	122	79	508	18	59	12	20	9	30	62	14	373	254	202	106	100	98	115	116	32	118	15	40	41	32	26	43	106	68	102	1588	141
sq72	241	120	132	174	214	143	149	225	295	335	336	230	469	234	104	116	263	178	107	110	100	315	262	164	111	67	618	584	174	57	163	290	101	273	282	527	103	123	68	104	599	77	219	88	166	114	117	290	281	290	149	82	170	269	220	221	219	307	384	300	101	476	81
sq73	0	3	3	0	1	0	2	0	2	1	2	3	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1621	1240	80	0	457	72	0	1	802	752	74	4	156	187	434	0	0	335	90	21	2	503	378	394	189	0	310	464	466	320	426	633	722	583	0	1	6
sq74	19	14	29	25	19	17	19	4	58	20	32	23	10	10	7	10	3	9	25	50	4	7	40	1	0	3	845	780	213	14	1149	303	17	22	758	845	289	37	611	1293	472	12	19	352	224	73	27	386	301	363	137	5	211	310	268	266	337	363	463	339	8	12	12
sq75	1084	18	5	1	99	60	64	2	546	139	133	317	12	824	90	253	147	336	81	6	100	4940	338	1334	930	29	7	3	7	0	147	80	2	87	0	11	0	0	0	1	2	0	818	31	29	6	4	68	40	39	0	439	6	9	8	3	6	23	68	52	277	57	15
sq76	43	0	0	0	4	0	0	0	2	0	0	0	0	83	0	0	1	17	13	0	4	60	0	3	0	0	0	0	0	0	0	1	0	0	7	106	0	2	58	147	3	3	4	26	3507	204	87	655	2570	1252	2381	0	117	137	76	150	65	897	350	301	0	0	0
sq77	8	10	19	74	18	31	32	71	11	16	31	7	93	7	9	15	84	15	34	105	101	4	14	4	13	5	424	355	522	363	31	300	410	77	350	329	571	820	123	87	398	539	3	9	59	207	245	319	281	343	409	3	248	373	340	353	288	346	347	262	2	158	6
sq78	1	4	2	220	0	4	11	220	2	5	11	1	116	1	2	29	302	0	43	98	344	1	8	8	15	14	173	151	687	656	6	417	728	300	78	131	963	1282	30	25	267	398	0	0	43	136	272	211	242	263	629	1	198	319	314	274	149	274	277	214	4	326	0
sq79	20	40	57	51	12	25	14	5	62	49	49	44	53	13	31	33	6	18	33	66	25	4	30	1	4	0	705	666	463	57	450	386	68	27	479	811	800	255	205	311	574	89	8	261	452	258	131	295	230	301	188	2	146	219	227	153	241	228	333	223	4	15	18
sq80	172	142	117	22	218	217	225	328	244	392	461	153	505	379	298	331	272	328	265	102	66	57	197	155	199	74	319	344	127	2	210	361	78	137	96	364	72	58	28	35	401	56	118	158	305	291	252	280	218	269	62	109	78	128	104	76	91	186	303	238	97	302	85
sq81	14	62	77	76	64	53	38	52	23	19	27	13	22	12	19	76	45	13	77	142	53	0	27	2	0	5	796	648	436	126	68	212	134	74	350	759	389	227	137	141	632	117	11	28	203	261	135	375	332	403	302	6	233	385	313	318	294	376	478	380	7	48	16
sq82	120	849	667	142	345	240	196	29	574	981	700	220	87	308	179	509	69	306	481	395	48	9	438	82	53	36	149	31	34	0	3	14	7	148	69	48	36	9	3	1	92	6	161	1	1	0	4	107	96	44	100	224	184	209	237	186	296	434	402	285	192	53	321
sq83	1	1	3	104	0	3	7	232	0	0	5	0	6	0	2	21	117	0	38	72	224	0	0	1	0	4	45	45	762	324	0	126	301	165	20	9	808	1108	7	4	194	821	0	1	26	286	578	227	192	240	405	0	264	419	352	385	168	355	246	182	0	115	0
sq84	21	50	82	80	31	42	36	18	56	69	42	29	18	26	22	37	21	16	39	50	34	5	50	5	0	1	699	534	140	21	424	101	29	43	536	685	268	106	171	416	385	44	12	177	161	75	51	291	280	333	155	5	193	288	278	218	327	358	416	289	3	13	22
sq85	311	166	201	79	368	259	197	65	191	153	101	152	60	296	286	158	39	281	200	154	31	65	180	9	15	12	474	391	186	29	89	237	42	99	251	324	256	152	85	78	352	77	120	46	158	112	117	213	180	177	102	41	151	192	196	167	195	233	280	197	46	64	104
sq86	5	4	8	9	10	8	6	15	7	2	4	3	1	0	2	5	11	3	3	7	16	1	6	0	0	3	590	407	171	66	115	58	57	19	631	719	473	169	365	547	343	118	2	24	103	57	64	220	190	211	169	0	155	247	229	222	277	184	211	131	2	11	2
sq87	71	66	75	168	65	65	51	68	114	123	136	91	112	41	29	58	70	35	60	87	96	20	83	4	3	19	593	541	339	121	89	148	111	107	239	475	312	203	156	183	572	131	43	97	167	151	122	284	276	258	187	24	188	262	241	235	251	290	334	259	13	117	31
sq88	62	52	217	797	24	540	671	1056	25	198	165	51	254	8	69	436	453	5	692	1517	500	2	112	6	27	145	1	0	33	4	0	41	173	1332	0	1	3	21	0	0	1	57	68	2	76	69	79	29	30	33	14	91	6	2	6	12	1	4	8	3	184	441	7
sq89	101	116	220	97	41	136	147	89	657	981	580	214	166	123	111	188	77	66	147	139	58	10	347	9	9	20	111	103	58	4	318	305	20	180	31	266	5	15	62	130	91	4	168	1160	1727	179	75	152	145	137	5	52	10	20	33	8	16	19	68	76	67	158	39
sq90	9	43	64	149	62	95	75	136	50	133	134	29	230	20	30	46	182	18	56	109	88	0	58	0	0	15	440	472	522	112	45	187	175	133	205	259	392	383	72	82	354	210	11	32	147	207	211	195	203	187	201	8	219	275	331	287	166	299	289	252	14	324	24
sq91	2	0	1	0	2	0	2	1	4	3	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	246	110	5	0	25	11	0	0	826	411	23	0	222	363	24	0	1	39	42	6	3	62	50	97	64	0	66	94	124	86	121	85	60	26	0	2	2
